['Province/State', '8/7/20', '8/8/20', '8/9/20', '8/10/20', '8/11/20', '8/12/20', '8/13/20', '8/14/20', '8/15/20', '8/16/20', '8/17/20', '8/18/20', '8/19/20', '8/20/20', '8/21/20', '8/22/20', '8/23/20', '8/24/20', '8/25/20', '8/26/20', '8/27/20', '8/28/20', '8/29/20', '8/30/20', '8/31/20', '9/1/20', '9/2/20', '9/3/20', '9/4/20', '9/5/20', '9/6/20', '9/7/20', '9/8/20', '9/9/20', '9/10/20', '9/11/20', '9/12/20', '9/13/20', '9/14/20', '9/15/20', '9/16/20', '9/17/20', '9/18/20', '9/19/20', '9/20/20', '9/21/20', '9/22/20', '9/23/20', '9/24/20', '9/25/20', '9/26/20', '9/27/20', '9/28/20', '9/29/20', '9/30/20', '10/1/20', '10/2/20', '10/3/20', '10/4/20', '10/5/20', '10/6/20', '10/7/20', '10/8/20', '10/9/20', '10/10/20', '10/11/20', '10/12/20', '10/13/20', '10/14/20', '10/15/20', '10/16/20', '10/17/20', '10/18/20', '10/19/20', '10/20/20', '10/21/20', '10/22/20', '10/23/20', '10/24/20', '10/25/20', '10/26/20', '10/27/20', '10/28/20', '10/29/20', '10/30/20', '10/31/20', '11/1/20', '11/2/20', '11/3/20', '11/4/20', '11/5/20', '11/6/20', '11/7/20', '11/8/20', '11/9/20', '11/10/20', '11/11/20', '11/12/20', '11/13/20', '11/14/20', '11/15/20', '11/16/20', '11/17/20', '11/18/20', '11/19/20', '11/20/20', '11/21/20', '11/22/20', '11/23/20', '11/24/20', '11/25/20', '11/26/20', '11/27/20', '11/28/20', '11/29/20', '11/30/20', '12/1/20', '12/2/20', '12/3/20', '12/4/20', '12/5/20', '12/6/20', '12/7/20', '12/8/20', '12/9/20', '12/10/20', '12/11/20', '12/12/20', '12/13/20', '12/14/20', '12/15/20', '12/16/20', '12/17/20', '12/18/20', '12/19/20', '12/20/20', '12/21/20', '12/22/20', '12/23/20', '12/24/20', '12/25/20', '12/26/20', '12/27/20', '12/28/20', '12/29/20', '12/30/20', '12/31/20', '1/1/21', '1/2/21', '1/3/21', '1/4/21', '1/5/21', '1/6/21', '1/7/21', '1/8/21', '1/9/21', '1/10/21', '1/11/21', '1/12/21', '1/13/21', '1/14/21', '1/15/21', '1/16/21', '1/17/21', '1/18/21', '1/19/21', '1/20/21', '1/21/21', '1/22/21', '1/23/21', '1/24/21', '1/25/21', '1/26/21', '1/27/21', '1/28/21', '1/29/21', '1/30/21', '1/31/21', '2/1/21', '2/2/21', '2/3/21', '2/4/21', '2/5/21', '2/6/21', '2/7/21', '2/8/21', '2/9/21', '2/10/21', '2/11/21', '2/12/21']
['Afghanistan', '25903', '25960', '25960', '26228', '26415', '26694', '26714', '26714', '27166', '27166', '27166', '27166', '27166', '27681', '28016', '28016', '28180', '28360', '28440', '29042', '29046', '29059', '29063', '29089', '29089', '29231', '29315', '29390', '29713', '30082', '30537', '30557', '30715', '31048', '31129', '31154', '31234', '31638', '32073', '32098', '32503', '32505', '32576', '32576', '32576', '32576', '32576', '32610', '32619', '32619', '32635', '32642', '32642', '32746', '32789', '32842', '32842', '32842', '32852', '32879', '32977', '33045', '33058', '33058', '33064', '33114', '33118', '33308', '33354', '33447', '33516', '33561', '33614', '33760', '33790', '33824', '33831', '34010', '34023', '34129', '34150', '34217', '34237', '34239', '34258', '34321', '34326', '34342', '34355', '34362', '34440', '34440', '34446', '34458', '34721', '34954', '34967', '35024', '35036', '35067', '35092', '35137', '35160', '35295', '35350', '35370', '35422', '35934', '35976', '36122', '36145', '36232', '36295', '36709', '36716', '36831', '36946', '37218', '37260', '37260', '37393', '37685', '37879', '37920', '38032', '38099', '38141', '38200', '38250', '38252', '38336', '38475', '38505', '38540', '38613', '39006', '39508', '39585', '39692', '40359', '40444', '40784', '41096', '41441', '41543', '41612', '41727', '41727', '41727', '41727', '42530', '42666', '42666', '43291', '43440', '43740', '43948', '44137', '44608', '44850', '45298', '45434', '45465', '45868', '46359', '46554', '46759', '46887', '46912', '46943', '47298', '47365', '47459', '47549', '47583', '47606', '47609', '47679', '47723', '47798', '47982', '47995', '48018', '48027', '48041', '48042', '48109', '48133', '48279', '48390']
['Albania', '3227', '3268', '3342', '3379', '3480', '3552', '3616', '3695', '3746', '3794', '3816', '3871', '3928', '3986', '4096', '4184', '4332', '4413', '4530', '4633', '4791', '4923', '5020', '5139', '5214', '5441', '5582', '5732', '5882', '5976', '6106', '6186', '6239', '6284', '6346', '6443', '6494', '6569', '6615', '6668', '6733', '6788', '6831', '6888', '6940', '6995', '7042', '7139', '7239', '7309', '7397', '7397', '7629', '7732', '7847', '8077', '8342', '8536', '8675', '8825', '8965', '9115', '9215', '9304', '9406', '9500', '9585', '9675', '9762', '9864', '9957', '10001', '10071', '10167', '10225', '10341', '10395', '10466', '10548', '10654', '10705', '10808', '10893', '11007', '11097', '11189', '11246', '11367', '11473', '11578', '11696', '11861', '12002', '12092', '12203', '12353', '12493', '12574', '12667', '12767', '12889', '13453', '13804', '14216', '14565', '15055', '15469', '15842', '16230', '16666', '17031', '17352', '17755', '18152', '18481', '18849', '19384', '19912', '20484', '20974', '21286', '21617', '22180', '22527', '23072', '23609', '24136', '24520', '24820', '24820', '25876', '26381', '26898', '27426', '27831', '28121', '28752', '29249', '29799', '30276', '30790', '31181', '31565', '32122', '32700', '33185', '33634', '33634', '34353', '34648', '34996', '35551', '36102', '36535', '36971', '37327', '37648', '37981', '38421', '38860', '39246', '39625', '40090', '40453', '40870', '41464', '41969', '42426', '42895', '43384', '43890', '44291', '44880', '45383', '45906', '46420', '46927', '47424', '47922', '48377', '48958', '49543', '50219', '50875', '51444', '52128', '52933', '53616', '54362', '55243']
['Algeria', '23667', '24083', '24506', '24920', '25263', '25627', '26004', '26308', '26644', '27017', '27347', '27653', '27971', '28281', '28587', '28874', '29142', '29369', '29587', '29886', '30157', '30436', '30717', '30978', '31244', '31493', '31746', '32006', '32259', '32481', '32745', '32985', '33183', '33379', '33562', '33723', '33875', '34037', '34204', '34385', '34517', '34675', '34818', '34923', '35047', '35180', '35307', '35428', '35544', '35654', '35756', '35860', '35962', '36063', '36174', '36282', '36385', '36482', '36578', '36672', '36763', '36857', '36958', '37067', '37170', '37170', '37382', '37492', '37603', '37603', '37856', '37971', '38088', '38215', '38346', '38482', '38618', '38788', '38932', '39095', '39273', '39444', '39635', '39635', '40014', '40201', '40395', '40577', '40577', '41001', '41244', '41510', '41783', '42037', '42325', '42626', '42980', '42980', '43779', '44199', '44633', '45148', '45148', '46326', '46962', '47581', '48183', '48794', '49421', '50070', '50712', '51334', '51946', '52568', '53204', '53809', '54405', '54990', '55538', '56079', '56617', '57146', '57648', '58146', '58146', '59135', '59590', '60028', '60457', '60888', '61307', '61700', '62089', '62487', '62869', '63260', '63644', '64020', '64401', '64777', '65144', '65505', '65862', '66214', '66550', '66855', '67127', '67395', '67611', '67808', '67999', '68185', '68383', '68589', '68802', '69011', '69212', '69403', '69608', '69791', '69992', '70188', '70373', '70554', '70747', '70933', '71127', '71343', '71552', '71755', '71945', '72143', '72336', '72538', '72745', '72956', '73152', '73344', '73530', '73732', '73940', '74136', '74330', '74330', '74692', '74871', '75057', '75243', '75436', '75628']
['Andorra', '839', '839', '839', '839', '839', '855', '858', '863', '863', '863', '869', '869', '875', '875', '875', '875', '875', '877', '877', '893', '893', '902', '902', '902', '908', '908', '909', '909', '928', '928', '928', '934', '934', '938', '938', '943', '943', '943', '945', '945', '1054', '1054', '1164', '1164', '1164', '1199', '1199', '1203', '1203', '1263', '1263', '1263', '1265', '1265', '1432', '1432', '1540', '1540', '1540', '1615', '1615', '1715', '1715', '1814', '1814', '1814', '1928', '1928', '2011', '2011', '2057', '2057', '2057', '2273', '2273', '2470', '2470', '2729', '2729', '2729', '2957', '3029', '3144', '3260', '3377', '3475', '3475', '3548', '3627', '3734', '3858', '3858', '4043', '4248', '4332', '4405', '4488', '4585', '4675', '4675', '4747', '4830', '4965', '5055', '5127', '5239', '5290', '5358', '5405', '5503', '5542', '5649', '5710', '5710', '5794', '5873', '5940', '5988', '6066', '6130', '6171', '6238', '6293', '6367', '6452', '6505', '6598', '6629', '6629', '6706', '6706', '6819', '6875', '6919', '6963', '6997', '7028', '7073', '7106', '7171', '7203', '7252', '7288', '7318', '7360', '7384', '7432', '7463', '7463', '7517', '7548', '7585', '7615', '7615', '7724', '7724', '7724', '7724', '7930', '8070', '8091', '8116', '8116', '8154', '8154', '8349', '8399', '8474', '8537', '8588', '8652', '8724', '8774', '8851', '8942', '8986', '9045', '9093', '9206', '9252', '9313', '9395', '9444', '9492', '9533', '9610', '9674', '9732', '9781', '9833']
['Angola', '544', '564', '567', '569', '575', '577', '577', '584', '628', '628', '632', '667', '698', '742', '804', '814', '818', '877', '977', '977', '1335', '1028', '1041', '1063', '1071', '1084', '1115', '1144', '1167', '1192', '1198', '1215', '1215', '1245', '1277', '1288', '1289', '1301', '1324', '1332', '1401', '1405', '1443', '1445', '1445', '1449', '1462', '1473', '1503', '1554', '1639', '1707', '1813', '1833', '1941', '2082', '2215', '2436', '2577', '2591', '2598', '2598', '2635', '2685', '2716', '2743', '2744', '2761', '2801', '2928', '3012', '3022', '3030', '3031', '3037', '3040', '3305', '3384', '3461', '3508', '3530', '3647', '3693', '3736', '4107', '4523', '4920', '5172', '5230', '5266', '5350', '5626', '5647', '5899', '5927', '6036', '6125', '6250', '6326', '6345', '6444', '6523', '6582', '6623', '7062', '7117', '7273', '7346', '7351', '7444', '7517', '7617', '7697', '7763', '7763', '7851', '7932', '8139', '8244', '8299', '8335', '8338', '8353', '8470', '8579', '8679', '8798', '8841', '8898', '8924', '8990', '9194', '9266', '9345', '9518', '9592', '9695', '9729', '9729', '9729', '9921', '9976', '10354', '10354', '10627', '10859', '11044', '11146', '11189', '11223', '11266', '11376', '11477', '11955', '12712', '13205', '13872', '14825', '15512', '15631', '16008', '16120', '16225', '16347', '16677', '16822', '16921', '17176', '17223', '17249', '17266', '17327', '17388', '17602', '17692', '17918', '18015', '18035', '18180', '18232', '18335', '18381', '18431', '18475', '18540', '18596', '18623', '18687', '18710', '18786']
['Antigua and Barbuda', '76', '76', '76', '76', '76', '76', '76', '83', '83', '88', '88', '88', '88', '89', '89', '89', '89', '89', '89', '89', '89', '89', '89', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '91', '92', '92', '92', '92', '92', '92', '92', '92', '92', '92', '92', '92', '92', '92', '94', '96', '96', '96', '96', '97', '97', '97', '97', '97', '97', '97', '100', '100', '100', '101', '101', '101', '101', '101', '107', '107', '108', '108', '108', '108', '115', '115', '116', '117', '117', '117', '117', '118', '118', '118', '122', '122', '122', '122', '124', '124', '124', '127', '127', '127', '127', '127', '127', '127', '128', '128', '128', '128', '129', '130', '130', '130', '130', '130', '130', '133', '133', '133', '133', '133', '134', '134', '138', '138', '138', '138', '138', '138', '138', '141', '141', '141', '141', '143', '143', '144', '146', '146', '146', '146', '146', '147', '147', '148', '148', '148', '148', '148', '148', '148', '149', '149', '150', '152', '152', '152', '152', '152', '156', '156', '156', '156', '156', '157', '157', '162', '162', '162', '163', '170', '170', '174', '174', '175', '175', '177', '177', '179', '179', '181', '183', '187', '187', '189', '189', '190', '197', '199']
['Argentina', '103297', '108242', '108242', '108242', '181389', '187283', '192434', '199005', '205697', '211702', '217850', '223531', '228725', '233651', '239806', '245781', '251400', '256789', '263202', '268801', '274458', '280165', '287220', '294007', '301195', '308376', '315530', '322461', '331621', '340381', '349132', '357388', '366590', '382490', '390098', '400121', '409771', '419513', '428953', '438883', '448263', '456347', '467286', '478077', '488231', '508563', '517228', '525486', '536589', '546924', '556489', '565935', '576715', '585857', '594645', '603140', '614515', '626114', '636672', '649017', '660272', '670725', '684844', '697141', '709464', '721380', '732582', '742235', '751146', '764859', '778501', '791174', '803965', '803965', '829647', '840520', '851854', '866695', '881113', '894819', '909586', '921344', '931147', '946134', '961101', '973939', '985316', '998016', '1009278', '1017647', '1030137', '1042237', '1053313', '1062911', '1073577', '1081897', '1081897', '1100180', '1110477', '1119366', '1129102', '1140196', '1148833', '1156474', '1167514', '1177819', '1187053', '1195492', '1203800', '1210634', '1217284', '1226662', '1235257', '1242877', '1249843', '1257227', '1263251', '1268358', '1274675', '1281955', '1288785', '1294692', '1300696', '1305587', '1311488', '1318187', '1324792', '1330160', '1335317', '1340120', '1344300', '1347914', '1352556', '1356755', '1362617', '1368346', '1374401', '1379726', '1384277', '1384277', '1384277', '1402227', '1407926', '1414680', '1420885', '1426676', '1426676', '1426676', '1447092', '1452960', '1458083', '1466616', '1474048', '1484794', '1494896', '1504330', '1511750', '1518715', '1527861', '1536423', '1549490', '1561963', '1573104', '1583465', '1594768', '1604373', '1613773', '1625755', '1636826', '1646668', '1656149', '1666527', '1674555', '1682563', '1693146', '1703459', '1712868', '1721650', '1729999', '1738768', '1745208', '1754705', '1763762', '1772059', '1778965', '1786178', '1792321', '1798120', '1806260', '1814160']
['Armenia', '32008', '32395', '32520', '32616', '33157', '33492', '33897', '34164', '34484', '34584', '34655', '34982', '35226', '35476', '35693', '35907', '35991', '36049', '36475', '36726', '36988', '37264', '37563', '37650', '37722', '38356', '38631', '38855', '39257', '39823', '40089', '40121', '40592', '41023', '41233', '41434', '41605', '41659', '41693', '41941', '42069', '42231', '42369', '42551', '42608', '42637', '42676', '43026', '43266', '43401', '43576', '43613', '43665', '43849', '44001', '44219', '44406', '44583', '44672', '44710', '44932', '45110', '45312', '45528', '45771', '45824', '45891', '46318', '46713', '47119', '47541', '47925', '48104', '48208', '48734', '49219', '49787', '50276', '50701', '50908', '51162', '51814', '52508', '53257', '54316', '55317', '55827', '56466', '57599', '58811', '60135', '61782', '63258', '64179', '64910', '66835', '68336', '70130', '72116', '74105', '74984', '75865', '78343', '80069', '88388', '90754', '92829', '94090', '95099', '98944', '100913', '103055', '105149', '106479', '107364', '108442', '110365', '111795', '113228', '114990', '116066', '116796', '117649', '119147', '120532', '121882', '123474', '124521', '125169', '125966', '127452', '128694', '129990', '131213', '131931', '132532', '133176', '134586', '135638', '136766', '137815', '138669', '139113', '139675', '140942', '141844', '142801', '143355', '143640', '144091', '144831', '145759', '146576', '147388', '147961', '148893', '149312', '149873', '150602', '151246', '151849', '152320', '152615', '152772', '153064', '153500', '153857', '154046', '154259', '154535', '154708', '154932', '155404', '156053', '156645', '156910', '157314', '157519', '157800', '158335', '158693', '159045', '159350', '159577', '159720', '159876', '160169', '160405', '160670', '160838']
['Australia', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '110', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '111', '112', '112', '112', '112', '112', '112', '112', '112', '112', '113', '113', '113', '113', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '114', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115', '115']
['Australia', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2995', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '2994', '3107', '3113', '3116', '3116', '3117', '3118', '3123', '3129', '3129', '3129', '3131', '3131', '3131', '3131', '3131', '3133', '3132', '3132', '3132', '3134', '3134', '3140', '3140', '3142', '3142', '3142', '3142', '3142', '3141', '3141', '3143', '3145', '3145', '3145', '3147', '3147', '3147', '3148', '3148', '3148', '3148', '3148', '3150', '3151', '3153', '3153', '3156', '3156', '3156', '3156', '3156', '3156', '3156', '3156', '3156', '3166', '3167', '3168', '3170', '3173', '3173', '3175', '3175', '3177', '3178', '3180', '3181', '3181', '3181', '3182', '3183', '3183', '3186', '3186', '3186', '3186', '3186', '3190', '3191', '3191', '3191', '3191', '3191', '3191', '3192', '3192', '3192', '3192', '3192', '3192', '3192', '3192', '3192', '3192', '3192', '3194', '3194', '3194', '3196', '3197', '3197', '3197', '3197', '3197', '3198', '3210', '3210', '3211', '3214', '3215', '3216', '3216', '3222', '3225', '3227', '3229', '3229', '3229', '3233', '3234', '3236', '3236', '3237', '3237', '3240', '3242', '3252', '3252', '3253', '3254', '3255', '3256', '3256', '3256', '3257', '3258', '3258', '3259', '3259', '3260', '3261', '3262', '3262', '3262']
