['Province/State', ' 8/7/20', ' 8/8/20', ' 8/9/20', ' 8/10/20', ' 8/11/20', ' 8/12/20', ' 8/13/20', ' 8/14/20', ' 8/15/20', ' 8/16/20', ' 8/17/20', ' 8/18/20', ' 8/19/20', ' 8/20/20', ' 8/21/20', ' 8/22/20', ' 8/23/20', ' 8/24/20', ' 8/25/20', ' 8/26/20', ' 8/27/20', ' 8/28/20', ' 8/29/20', ' 8/30/20', ' 8/31/20', ' 9/1/20', ' 9/2/20', ' 9/3/20', ' 9/4/20', ' 9/5/20', ' 9/6/20', ' 9/7/20', ' 9/8/20', ' 9/9/20', ' 9/10/20', ' 9/11/20', ' 9/12/20', ' 9/13/20', ' 9/14/20', ' 9/15/20', ' 9/16/20', ' 9/17/20', ' 9/18/20', ' 9/19/20', ' 9/20/20', ' 9/21/20', ' 9/22/20', ' 9/23/20', ' 9/24/20', ' 9/25/20', ' 9/26/20', ' 9/27/20', ' 9/28/20', ' 9/29/20', ' 9/30/20', ' 10/1/20', ' 10/2/20', ' 10/3/20', ' 10/4/20', ' 10/5/20', ' 10/6/20', ' 10/7/20', ' 10/8/20', ' 10/9/20', ' 10/10/20', ' 10/11/20', ' 10/12/20', ' 10/13/20', ' 10/14/20', ' 10/15/20', ' 10/16/20', ' 10/17/20', ' 10/18/20', ' 10/19/20', ' 10/20/20', ' 10/21/20', ' 10/22/20', ' 10/23/20', ' 10/24/20', ' 10/25/20', ' 10/26/20', ' 10/27/20', ' 10/28/20', ' 10/29/20', ' 10/30/20', ' 10/31/20', ' 11/1/20', ' 11/2/20', ' 11/3/20', ' 11/4/20', ' 11/5/20', ' 11/6/20', ' 11/7/20', ' 11/8/20', ' 11/9/20', ' 11/10/20', ' 11/11/20', ' 11/12/20', ' 11/13/20', ' 11/14/20', ' 11/15/20', ' 11/16/20', ' 11/17/20', ' 11/18/20', ' 11/19/20', ' 11/20/20', ' 11/21/20', ' 11/22/20', ' 11/23/20', ' 11/24/20', ' 11/25/20', ' 11/26/20', ' 11/27/20', ' 11/28/20', ' 11/29/20', ' 11/30/20', ' 12/1/20', ' 12/2/20', ' 12/3/20', ' 12/4/20', ' 12/5/20', ' 12/6/20', ' 12/7/20', ' 12/8/20', ' 12/9/20', ' 12/10/20', ' 12/11/20', ' 12/12/20', ' 12/13/20', ' 12/14/20', ' 12/15/20', ' 12/16/20', ' 12/17/20', ' 12/18/20', ' 12/19/20', ' 12/20/20', ' 12/21/20', ' 12/22/20', ' 12/23/20', ' 12/24/20', ' 12/25/20', ' 12/26/20', ' 12/27/20', ' 12/28/20', ' 12/29/20', ' 12/30/20', ' 12/31/20', ' 1/1/21', ' 1/2/21', ' 1/3/21', ' 1/4/21', ' 1/5/21', ' 1/6/21', ' 1/7/21', ' 1/8/21', ' 1/9/21', ' 1/10/21', ' 1/11/21', ' 1/12/21', ' 1/13/21', ' 1/14/21', ' 1/15/21', ' 1/16/21', ' 1/17/21', ' 1/18/21', ' 1/19/21', ' 1/20/21', ' 1/21/21', ' 1/22/21', ' 1/23/21', ' 1/24/21', ' 1/25/21', ' 1/26/21', ' 1/27/21', ' 1/28/21', ' 1/29/21', ' 1/30/21', ' 1/31/21', ' 2/1/21', ' 2/2/21', ' 2/3/21', ' 2/4/21', ' 2/5/21', ' 2/6/21', ' 2/7/21', ' 2/8/21', ' 2/9/21', ' 2/10/21', ' 2/11/21', ' 2/12/21\n']
['Afghanistan', ' 37006', ' 37046', ' 37083', ' 37153', ' 37260', ' 37336', ' 37422', ' 37497', ' 37542', ' 37590', ' 37667', ' 37710', ' 37750', ' 37852', ' 37885', ' 37944', ' 37990', ' 38045', ' 38061', ' 38103', ' 38119', ' 38130', ' 38133', ' 38155', ' 38159', ' 38193', ' 38243', ' 38288', ' 38304', ' 38324', ' 38398', ' 38494', ' 38520', ' 38544', ' 38572', ' 38606', ' 38641', ' 38716', ' 38772', ' 38815', ' 38855', ' 38872', ' 38897', ' 38919', ' 39044', ' 39074', ' 39096', ' 39145', ' 39170', ' 39186', ' 39192', ' 39227', ' 39239', ' 39254', ' 39268', ' 39285', ' 39290', ' 39297', ' 39341', ' 39422', ' 39486', ' 39548', ' 39616', ' 39693', ' 39703', ' 39799', ' 39870', ' 39928', ' 39994', ' 40026', ' 40088', ' 40141', ' 40200', ' 40287', ' 40369', ' 40510', ' 40626', ' 40687', ' 40768', ' 40833', ' 40937', ' 41032', ' 41145', ' 41268', ' 41334', ' 41425', ' 41501', ' 41633', ' 41728', ' 41814', ' 41935', ' 41975', ' 42033', ' 42159', ' 42297', ' 42463', ' 42609', ' 42795', ' 42969', ' 43035', ' 43240', ' 43468', ' 43681', ' 43924', ' 44177', ' 44363', ' 44503', ' 44706', ' 44988', ' 45174', ' 45384', ' 45600', ' 45723', ' 45844', ' 46116', ' 46274', ' 46516', ' 46718', ' 46837', ' 46837', ' 47072', ' 47306', ' 47516', ' 47716', ' 47851', ' 48053', ' 48116', ' 48229', ' 48527', ' 48718', ' 48952', ' 49161', ' 49378', ' 49621', ' 49681', ' 49817', ' 50013', ' 50190', ' 50433', ' 50655', ' 50810', ' 50886', ' 51039', ' 51280', ' 51350', ' 51405', ' 51526', ' 51526', ' 51526', ' 51526', ' 53011', ' 53105', ' 53105', ' 53207', ' 53332', ' 53400', ' 53489', ' 53538', ' 53584', ' 53584', ' 53775', ' 53831', ' 53938', ' 53984', ' 54062', ' 54141', ' 54278', ' 54403', ' 54483', ' 54559', ' 54595', ' 54672', ' 54750', ' 54854', ' 54891', ' 54939', ' 55008', ' 55023', ' 55059', ' 55121', ' 55174', ' 55231', ' 55265', ' 55330', ' 55335', ' 55359', ' 55384', ' 55402', ' 55420', ' 55445\n']
['Albania', ' 6151', ' 6275', ' 6411', ' 6536', ' 6676', ' 6817', ' 6971', ' 7117', ' 7260', ' 7380', ' 7499', ' 7654', ' 7812', ' 7967', ' 8119', ' 8275', ' 8427', ' 8605', ' 8759', ' 8927', ' 9083', ' 9195', ' 9279', ' 9380', ' 9513', ' 9606', ' 9728', ' 9844', ' 9967', ' 10102', ' 10255', ' 10406', ' 10553', ' 10704', ' 10860', ' 11021', ' 11185', ' 11353', ' 11520', ' 11672', ' 11816', ' 11948', ' 12073', ' 12226', ' 12385', ' 12535', ' 12666', ' 12787', ' 12921', ' 13045', ' 13153', ' 13259', ' 13391', ' 13518', ' 13649', ' 13806', ' 13965', ' 14117', ' 14266', ' 14410', ' 14568', ' 14730', ' 14899', ' 15066', ' 15231', ' 15399', ' 15570', ' 15752', ' 15955', ' 16212', ' 16501', ' 16774', ' 17055', ' 17350', ' 17651', ' 17948', ' 18250', ' 18556', ' 18858', ' 19157', ' 19445', ' 19729', ' 20040', ' 20315', ' 20634', ' 20875', ' 21202', ' 21523', ' 21904', ' 22300', ' 22721', ' 23210', ' 23705', ' 24206', ' 24731', ' 25294', ' 25801', ' 26211', ' 26701', ' 27233', ' 27830', ' 28432', ' 29126', ' 29837', ' 30623', ' 31459', ' 32196', ' 32761', ' 33556', ' 34300', ' 34944', ' 35600', ' 36245', ' 36790', ' 37625', ' 38182', ' 39014', ' 39719', ' 40501', ' 41302', ' 42148', ' 42988', ' 43683', ' 44436', ' 45188', ' 46061', ' 46863', ' 47742', ' 48530', ' 49191', ' 50000', ' 50637', ' 51424', ' 52004', ' 52542', ' 53003', ' 53425', ' 53814', ' 54317', ' 54827', ' 55380', ' 55755', ' 56254', ' 56572', ' 57146', ' 57727', ' 58316', ' 58316', ' 58991', ' 59438', ' 59623', ' 60283', ' 61008', ' 61705', ' 62378', ' 63033', ' 63595', ' 63971', ' 64627', ' 65334', ' 65994', ' 66635', ' 67216', ' 67690', ' 67982', ' 68568', ' 69238', ' 69916', ' 70655', ' 71441', ' 72274', ' 72812', ' 73691', ' 74567', ' 75454', ' 76350', ' 77251', ' 78127', ' 78992', ' 79934', ' 80941', ' 81993', ' 83082', ' 84212', ' 85336', ' 86289', ' 87528', ' 88671', ' 89776', ' 90835\n']
['Algeria', ' 34155', ' 34693', ' 35160', ' 35712', ' 36204', ' 36699', ' 37187', ' 37664', ' 38133', ' 38583', ' 39025', ' 39444', ' 39847', ' 40258', ' 40667', ' 41068', ' 41460', ' 41858', ' 42228', ' 42619', ' 43016', ' 43403', ' 43781', ' 44146', ' 44494', ' 44833', ' 45158', ' 45469', ' 45773', ' 46071', ' 46364', ' 46653', ' 46938', ' 47216', ' 47488', ' 47752', ' 48007', ' 48254', ' 48496', ' 48734', ' 48966', ' 49194', ' 49413', ' 49623', ' 49826', ' 50023', ' 50214', ' 50400', ' 50579', ' 50754', ' 50914', ' 51067', ' 51213', ' 51368', ' 51530', ' 51690', ' 51847', ' 51995', ' 52136', ' 52270', ' 52399', ' 52520', ' 52658', ' 52804', ' 52940', ' 53072', ' 53325', ' 53399', ' 53584', ' 53777', ' 53998', ' 54203', ' 54402', ' 54616', ' 54829', ' 55081', ' 55357', ' 55630', ' 55880', ' 56143', ' 56419', ' 56706', ' 57026', ' 57332', ' 57651', ' 57942', ' 58272', ' 58574', ' 58979', ' 59527', ' 60169', ' 60800', ' 61381', ' 62051', ' 62693', ' 63446', ' 64257', ' 65108', ' 65975', ' 66819', ' 67679', ' 68589', ' 69591', ' 70629', ' 71652', ' 72755', ' 73774', ' 74862', ' 75867', ' 77000', ' 78025', ' 79110', ' 80168', ' 81212', ' 82221', ' 83199', ' 84152', ' 85084', ' 85927', ' 86730', ' 87502', ' 88252', ' 88825', ' 89416', ' 90014', ' 90579', ' 91121', ' 91638', ' 92102', ' 92597', ' 93065', ' 93507', ' 93933', ' 94371', ' 94781', ' 95203', ' 95659', ' 96069', ' 96549', ' 97007', ' 97441', ' 97857', ' 98249', ' 98631', ' 98988', ' 99311', ' 99610', ' 99897', ' 100159', ' 100408', ' 100645', ' 100873', ' 101120', ' 101382', ' 101657', ' 101913', ' 102144', ' 102369', ' 102641', ' 102860', ' 103127', ' 103381', ' 103611', ' 103833', ' 104092', ' 104341', ' 104606', ' 104852', ' 105124', ' 105369', ' 105596', ' 105854', ' 106097', ' 106359', ' 106610', ' 106887', ' 107122', ' 107339', ' 107578', ' 107841', ' 108116', ' 108381', ' 108629', ' 108629', ' 109088', ' 109313', ' 109559', ' 109782', ' 110049', ' 110303\n']
['Andorra', ' 955', ' 955', ' 955', ' 963', ' 963', ' 977', ' 981', ' 989', ' 989', ' 989', ' 1005', ' 1005', ' 1024', ' 1024', ' 1045', ' 1045', ' 1045', ' 1060', ' 1060', ' 1098', ' 1098', ' 1124', ' 1124', ' 1124', ' 1176', ' 1184', ' 1199', ' 1199', ' 1215', ' 1215', ' 1215', ' 1261', ' 1261', ' 1301', ' 1301', ' 1344', ' 1344', ' 1344', ' 1438', ' 1438', ' 1483', ' 1483', ' 1564', ' 1564', ' 1564', ' 1681', ' 1681', ' 1753', ' 1753', ' 1836', ' 1836', ' 1836', ' 1966', ' 1966', ' 2050', ' 2050', ' 2110', ' 2110', ' 2110', ' 2370', ' 2370', ' 2568', ' 2568', ' 2696', ' 2696', ' 2696', ' 2995', ' 2995', ' 3190', ' 3190', ' 3377', ' 3377', ' 3377', ' 3623', ' 3623', ' 3811', ' 3811', ' 4038', ' 4038', ' 4038', ' 4325', ' 4410', ' 4517', ' 4567', ' 4665', ' 4756', ' 4825', ' 4888', ' 4910', ' 5045', ' 5135', ' 5135', ' 5319', ' 5383', ' 5437', ' 5477', ' 5567', ' 5616', ' 5725', ' 5725', ' 5872', ' 5914', ' 5951', ' 6018', ' 6066', ' 6142', ' 6207', ' 6256', ' 6304', ' 6351', ' 6428', ' 6534', ' 6610', ' 6610', ' 6712', ' 6745', ' 6790', ' 6842', ' 6904', ' 6955', ' 7005', ' 7050', ' 7084', ' 7127', ' 7162', ' 7190', ' 7236', ' 7288', ' 7338', ' 7382', ' 7382', ' 7446', ' 7466', ' 7519', ' 7560', ' 7577', ' 7602', ' 7633', ' 7669', ' 7699', ' 7756', ' 7806', ' 7821', ' 7875', ' 7919', ' 7983', ' 8049', ' 8117', ' 8166', ' 8192', ' 8249', ' 8308', ' 8348', ' 8348', ' 8489', ' 8586', ' 8586', ' 8586', ' 8682', ' 8818', ' 8868', ' 8946', ' 9038', ' 9083', ' 9083', ' 9194', ' 9308', ' 9379', ' 9416', ' 9499', ' 9549', ' 9596', ' 9638', ' 9716', ' 9779', ' 9837', ' 9885', ' 9937', ' 9972', ' 10017', ' 10070', ' 10137', ' 10172', ' 10206', ' 10251', ' 10275', ' 10312', ' 10352', ' 10391', ' 10427\n']
['Angola', ' 1538', ' 1572', ' 1672', ' 1679', ' 1735', ' 1762', ' 1815', ' 1852', ' 1879', ' 1906', ' 1935', ' 1966', ' 2015', ' 2044', ' 2068', ' 2134', ' 2171', ' 2222', ' 2283', ' 2332', ' 2415', ' 2471', ' 2551', ' 2624', ' 2654', ' 2729', ' 2777', ' 2805', ' 2876', ' 2935', ' 2965', ' 2981', ' 3033', ' 3092', ' 3217', ' 3279', ' 3335', ' 3388', ' 3439', ' 3569', ' 3675', ' 3789', ' 3848', ' 3901', ' 3991', ' 4117', ' 4236', ' 4363', ' 4475', ' 4590', ' 4672', ' 4718', ' 4797', ' 4905', ' 4972', ' 5114', ' 5211', ' 5370', ' 5402', ' 5530', ' 5725', ' 5725', ' 5958', ' 6031', ' 6246', ' 6366', ' 6488', ' 6680', ' 6846', ' 7096', ' 7222', ' 7462', ' 7622', ' 7829', ' 8049', ' 8338', ' 8582', ' 8829', ' 9026', ' 9381', ' 9644', ' 9871', ' 10074', ' 10269', ' 10558', ' 10805', ' 11035', ' 11228', ' 11577', ' 11813', ' 12102', ' 12223', ' 12335', ' 12433', ' 12680', ' 12816', ' 12953', ' 13053', ' 13228', ' 13374', ' 13451', ' 13615', ' 13818', ' 13922', ' 14134', ' 14267', ' 14413', ' 14493', ' 14634', ' 14742', ' 14821', ' 14920', ' 15008', ' 15087', ' 15103', ' 15139', ' 15251', ' 15319', ' 15361', ' 15493', ' 15536', ' 15591', ' 15648', ' 15729', ' 15804', ' 15925', ' 16061', ' 16161', ' 16188', ' 16277', ' 16362', ' 16407', ' 16484', ' 16562', ' 16626', ' 16644', ' 16686', ' 16802', ' 16931', ' 17029', ' 17099', ' 17149', ' 17240', ' 17296', ' 17371', ' 17433', ' 17553', ' 17568', ' 17608', ' 17642', ' 17684', ' 17756', ' 17864', ' 17974', ' 18066', ' 18156', ' 18193', ' 18254', ' 18343', ' 18425', ' 18613', ' 18679', ' 18765', ' 18875', ' 18926', ' 19011', ' 19093', ' 19177', ' 19269', ' 19367', ' 19399', ' 19476', ' 19553', ' 19580', ' 19672', ' 19723', ' 19782', ' 19796', ' 19829', ' 19900', ' 19937', ' 19996', ' 20030', ' 20062', ' 20086', ' 20112', ' 20163', ' 20210', ' 20261', ' 20294\n']
['Antigua and Barbuda', ' 92', ' 92', ' 92', ' 92', ' 92', ' 92', ' 92', ' 93', ' 93', ' 93', ' 93', ' 93', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 94', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 95', ' 96', ' 96', ' 96', ' 96', ' 97', ' 97', ' 98', ' 98', ' 101', ' 101', ' 101', ' 101', ' 101', ' 106', ' 107', ' 107', ' 107', ' 107', ' 108', ' 111', ' 111', ' 111', ' 111', ' 111', ' 111', ' 112', ' 112', ' 112', ' 119', ' 119', ' 119', ' 119', ' 122', ' 122', ' 122', ' 124', ' 124', ' 124', ' 124', ' 124', ' 124', ' 127', ' 128', ' 128', ' 128', ' 128', ' 130', ' 130', ' 130', ' 131', ' 131', ' 131', ' 131', ' 131', ' 131', ' 133', ' 134', ' 134', ' 134', ' 134', ' 139', ' 139', ' 139', ' 139', ' 139', ' 139', ' 139', ' 140', ' 141', ' 141', ' 141', ' 141', ' 141', ' 142', ' 144', ' 144', ' 144', ' 144', ' 144', ' 146', ' 146', ' 146', ' 146', ' 147', ' 148', ' 148', ' 148', ' 148', ' 151', ' 151', ' 152', ' 152', ' 153', ' 153', ' 153', ' 154', ' 154', ' 155', ' 155', ' 155', ' 158', ' 158', ' 158', ' 159', ' 159', ' 159', ' 160', ' 160', ' 160', ' 163', ' 163', ' 167', ' 169', ' 176', ' 176', ' 176', ' 176', ' 184', ' 184', ' 187', ' 189', ' 189', ' 190', ' 190', ' 192', ' 195', ' 195', ' 198', ' 201', ' 201', ' 215', ' 215', ' 218', ' 218', ' 234', ' 234', ' 249', ' 249', ' 268', ' 277', ' 288', ' 299', ' 316', ' 316', ' 350', ' 381', ' 419\n']
['Argentina', ' 235677', ' 241811', ' 246499', ' 253868', ' 260911', ' 268574', ' 276072', ' 282437', ' 289100', ' 294569', ' 299126', ' 305966', ' 312659', ' 320884', ' 329043', ' 336802', ' 342154', ' 350867', ' 359638', ' 370188', ' 380292', ' 392009', ' 401239', ' 408426', ' 417735', ' 428239', ' 439172', ' 451198', ' 461882', ' 471806', ' 478792', ' 488007', ' 500034', ' 512293', ' 524198', ' 535705', ' 546481', ' 555537', ' 565446', ' 577338', ' 589012', ' 601713', ' 613658', ' 622934', ' 631365', ' 640147', ' 652174', ' 664799', ' 678266', ' 691235', ' 702484', ' 711325', ' 723132', ' 736609', ' 751001', ' 765002', ' 779689', ' 790818', ' 798486', ' 809728', ' 824468', ' 840915', ' 856369', ' 871468', ' 883882', ' 894206', ' 903730', ' 917035', ' 931967', ' 949063', ' 965609', ' 979119', ' 989680', ' 1002662', ' 1018999', ' 1037325', ' 1053650', ' 1069368', ' 1081336', ' 1090589', ' 1102301', ' 1116609', ' 1130533', ' 1143800', ' 1157179', ' 1166924', ' 1173533', ' 1183131', ' 1195276', ' 1205928', ' 1217028', ' 1228814', ' 1236851', ' 1242182', ' 1250499', ' 1262476', ' 1273356', ' 1284519', ' 1296378', ' 1304846', ' 1310491', ' 1318384', ' 1329005', ' 1339337', ' 1349434', ' 1359042', ' 1366182', ' 1370366', ' 1374631', ' 1381795', ' 1390388', ' 1399431', ' 1407277', ' 1413375', ' 1418807', ' 1424533', ' 1432570', ' 1440103', ' 1447732', ' 1454631', ' 1459832', ' 1463110', ' 1466309', ' 1469919', ' 1475222', ' 1482216', ' 1489328', ' 1494602', ' 1498160', ' 1503222', ' 1510203', ' 1517046', ' 1524372', ' 1531374', ' 1537169', ' 1541285', ' 1547138', ' 1555279', ' 1563865', ' 1563865', ' 1574554', ' 1578267', ' 1583297', ' 1590513', ' 1602163', ' 1613928', ' 1625514', ' 1629594', ' 1634834', ' 1640718', ' 1648940', ' 1662730', ' 1676171', ' 1690006', ' 1703352', ' 1714409', ' 1722217', ' 1730921', ' 1744704', ' 1757429', ' 1770715', ' 1783047', ' 1791979', ' 1799243', ' 1807428', ' 1819569', ' 1831681', ' 1843077', ' 1853830', ' 1862192', ' 1867223', ' 1874801', ' 1885210', ' 1896053', ' 1905524', ' 1915362', ' 1922264', ' 1927239', ' 1933853', ' 1943548', ' 1952744', ' 1961635', ' 1970009', ' 1976689', ' 1980347', ' 1985501', ' 1993295', ' 2001034', ' 2008345', ' 2015496\n']
['Armenia', ' 39985', ' 40185', ' 40410', ' 40433', ' 40593', ' 40794', ' 41023', ' 41299', ' 41495', ' 41663', ' 41701', ' 41846', ' 42056', ' 42319', ' 42477', ' 42616', ' 42792', ' 42825', ' 42936', ' 43067', ' 43270', ' 43451', ' 43626', ' 43750', ' 43781', ' 43878', ' 44075', ' 44271', ' 44461', ' 44649', ' 44783', ' 44845', ' 44953', ' 45152', ' 45326', ' 45503', ' 45675', ' 45862', ' 45969', ' 46119', ' 46376', ' 46671', ' 46910', ' 47154', ' 47431', ' 47552', ' 47667', ' 47877', ' 48251', ' 48643', ' 49072', ' 49400', ' 49574', ' 49901', ' 50359', ' 50850', ' 51382', ' 51925', ' 52496', ' 52677', ' 53083', ' 53755', ' 54473', ' 55087', ' 55736', ' 56451', ' 56821', ' 57566', ' 58624', ' 59995', ' 61460', ' 63000', ' 64694', ' 65460', ' 66694', ' 68530', ' 70836', ' 73310', ' 75523', ' 77837', ' 78810', ' 80410', ' 82651', ' 85034', ' 87432', ' 89813', ' 92254', ' 93448', ' 94776', ' 97150', ' 99563', ' 101773', ' 104249', ' 106424', ' 107466', ' 108687', ' 110548', ' 112680', ' 114383', ' 115855', ' 117337', ' 117886', ' 118870', ' 120459', ' 121979', ' 123646', ' 124839', ' 126224', ' 126709', ' 127522', ' 129085', ' 130870', ' 132346', ' 133594', ' 134768', ' 135124', ' 135967', ' 137231', ' 138508', ' 139692', ' 140959', ' 141937', ' 142344', ' 142928', ' 144066', ' 145240', ' 146317', ' 147312', ' 148325', ' 148682', ' 149120', ' 150218', ' 151392', ' 152253', ' 153173', ' 153825', ' 154065', ' 154602', ' 155440', ' 156142', ' 156763', ' 157349', ' 157834', ' 157948', ' 158296', ' 158878', ' 159409', ' 159738', ' 159798', ' 160027', ' 160220', ' 160544', ' 160853', ' 161054', ' 161415', ' 161794', ' 162131', ' 162288', ' 162643', ' 163128', ' 163576', ' 163972', ' 164235', ' 164586', ' 164676', ' 164912', ' 165221', ' 165528', ' 165711', ' 165909', ' 166036', ' 166094', ' 166232', ' 166427', ' 166669', ' 166728', ' 166901', ' 167026', ' 167088', ' 167231', ' 167421', ' 167568', ' 167726', ' 167937', ' 168088', ' 168177', ' 168300', ' 168496', ' 168676', ' 168830\n']
['Austria', ' 21837', ' 21919', ' 22033', ' 22106', ' 22245', ' 22439', ' 22594', ' 22876', ' 23179', ' 23370', ' 23534', ' 23829', ' 24084', ' 24431', ' 24762', ' 25062', ' 25253', ' 25495', ' 25706', ' 26033', ' 26361', ' 26590', ' 26985', ' 27166', ' 27438', ' 27642', ' 27969', ' 28372', ' 28729', ' 29087', ' 29271', ' 29561', ' 30081', ' 30583', ' 31247', ' 31827', ' 32696', ' 33159', ' 33541', ' 34305', ' 35073', ' 35853', ' 36661', ' 37474', ' 38095', ' 38658', ' 39303', ' 39984', ' 40816', ' 41500', ' 42214', ' 42876', ' 43432', ' 44041', ' 44813', ' 45686', ' 46374', ' 47432', ' 48146', ' 48896', ' 49819', ' 50848', ' 52057', ' 53188', ' 54423', ' 55319', ' 56298', ' 57326', ' 58672', ' 60224', ' 61387', ' 63134', ' 64806', ' 65927', ' 67451', ' 69409', ' 71844', ' 74415', ' 78029', ' 80811', ' 83267', ' 86102', ' 89496', ' 93949', ' 99576', ' 104925', ' 109881', ' 114016', ' 118198', ' 125099', ' 132515', ' 138979', ' 147220', ' 153153', ' 158746', ' 164866', ' 172380', ' 181642', ' 191228', ' 198291', ' 203956', ' 208613', ' 214597', ' 221688', ' 228683', ' 235351', ' 241962', ' 247188', ' 250333', ' 254710', ' 260512', ' 266038', ' 270992', ' 275661', ' 279708', ' 282456', ' 285489', ' 289461', ' 293430', ' 297245', ' 300689', ' 303430', ' 305693', ' 308070', ' 311002', ' 313688', ' 316581', ' 319822', ' 322463', ' 325051', ' 327679', ' 330343', ' 332828', ' 334913', ' 337209', ' 338854', ' 340373', ' 342226', ' 344357', ' 347204', ' 349055', ' 350484', ' 351892', ' 353484', ' 355352', ' 357902', ' 360815', ' 362911', ' 364302', ' 365768', ' 367410', ' 369721', ' 372190', ' 374730', ' 376793', ' 379071', ' 380722', ' 382258', ' 383833', ' 385750', ' 389260', ' 390788', ' 392511', ' 393778', ' 394939', ' 396425', ' 398096', ' 399798', ' 401886', ' 403512', ' 404714', ' 405723', ' 407140', ' 408781', ' 410230', ' 411730', ' 413208', ' 414398', ' 415522', ' 416763', ' 418283', ' 419801', ' 421189', ' 422522', ' 423839', ' 424896', ' 426093', ' 427562', ' 429139', ' 430870\n']
['Azerbaijan', ' 33376', ' 33481', ' 33568', ' 33647', ' 33731', ' 33824', ' 33915', ' 34018', ' 34107', ' 34219', ' 34343', ' 34474', ' 34620', ' 34759', ' 34921', ' 35105', ' 35274', ' 35426', ' 35559', ' 35707', ' 35844', ' 35986', ' 36174', ' 36309', ' 36435', ' 36578', ' 36732', ' 36899', ' 37031', ' 37192', ' 37329', ' 37418', ' 37557', ' 37732', ' 37874', ' 38037', ' 38172', ' 38327', ' 38403', ' 38517', ' 38658', ' 38777', ' 38894', ' 39042', ' 39188', ' 39280', ' 39378', ' 39524', ' 39686', ' 39787', ' 39895', ' 40023', ' 40061', ' 40119', ' 40229', ' 40309', ' 40453', ' 40561', ' 40691', ' 40788', ' 40931', ' 41113', ' 41304', ' 41519', ' 41752', ' 41982', ' 42104', ' 42381', ' 42750', ' 43280', ' 43789', ' 44317', ' 44964', ' 45295', ' 45879', ' 46593', ' 47418', ' 48221', ' 49013', ' 49959', ' 50486', ' 51149', ' 52137', ' 53152', ' 54174', ' 55269', ' 56444', ' 57040', ' 58282', ' 59509', ' 60873', ' 62338', ' 63748', ' 65411', ' 66046', ' 67392', ' 68594', ' 70216', ' 71580', ' 73429', ' 75688', ' 77083', ' 79158', ' 81397', ' 83994', ' 87163', ' 89898', ' 93094', ' 95281', ' 98927', ' 102396', ' 106101', ' 109813', ' 114025', ' 118195', ' 121176', ' 125602', ' 129544', ' 133733', ' 138000', ' 142323', ' 146679', ' 149765', ' 154152', ' 158555', ' 162774', ' 167155', ' 171423', ' 175874', ' 178986', ' 183259', ' 187336', ' 191460', ' 195422', ' 199127', ' 202088', ' 203593', ' 205877', ' 208211', ' 210061', ' 211764', ' 213192', ' 214711', ' 215483', ' 216584', ' 217636', ' 218700', ' 219041', ' 219462', ' 220265', ' 220599', ' 221401', ' 222200', ' 222885', ' 223417', ' 224050', ' 224651', ' 224827', ' 225346', ' 225820', ' 226200', ' 226549', ' 226951', ' 227273', ' 227391', ' 227696', ' 228028', ' 228246', ' 228526', ' 228688', ' 228975', ' 229032', ' 229358', ' 229584', ' 229793', ' 229935', ' 230066', ' 230219', ' 230296', ' 230455', ' 230617', ' 230769', ' 230907', ' 231022', ' 231154', ' 231198', ' 231362', ' 231509', ' 231649', ' 231840\n']
