['Province/State', '7/14/20', '7/15/20', '7/16/20', '7/17/20', '7/18/20', '7/19/20', '7/20/20', '7/21/20', '7/22/20', '7/23/20', '7/24/20', '7/25/20', '7/26/20', '7/27/20', '7/28/20', '7/29/20', '7/30/20', '7/31/20', '8/1/20', '8/2/20']
['Afghanistan', '1048', '1094', '1113', '1147', '1164', '1181', '1185', '1186', '1190', '1211', '1225', '1248', '1259', '1269', '1270', '1271', '1271', '1272', '1283', '1284']
['Albania', '97', '101', '104', '107', '111', '112', '113', '117', '120', '123', '128', '134', '138', '144', '148', '150', '154', '157', '161', '166']
['Algeria', '1028', '1040', '1052', '1057', '1068', '1078', '1087', '1100', '1111', '1124', '1136', '1146', '1155', '1163', '1174', '1186', '1200', '1210', '1223', '1231']
['Andorra', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52', '52']
['Angola', '26', '27', '28', '29', '29', '29', '29', '30', '33', '33', '35', '39', '40', '41', '47', '48', '51', '52', '54', '55']
['Antigua and Barbuda', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']
['Argentina', '1968', '2050', '2112', '2178', '2220', '2260', '2373', '2490', '2588', '2702', '2807', '2893', '2939', '3059', '3179', '3288', '3441', '3543', '3596', '3648']
['Armenia', '581', '592', '607', '620', '631', '641', '650', '662', '678', '688', '692', '700', '705', '711', '719', '723', '728', '738', '749', '754']
['Australia', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']
['Australia', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '49', '50', '50', '50']
['Australia', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['Australia', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
['Australia', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
['Australia', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13', '13']
['Australia', '27', '29', '32', '34', '38', '39', '42', '44', '49', '55', '61', '71', '77', '83', '92', '105', '112', '116', '123', '136']
['Australia', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9']
['Austria', '709', '710', '711', '711', '711', '711', '711', '710', '711', '711', '711', '712', '712', '713', '713', '716', '718', '718', '718', '718']
['Azerbaijan', '319', '326', '334', '341', '349', '354', '363', '376', '385', '391', '400', '408', '417', '423', '430', '438', '441', '448', '454', '462']
['Bahamas', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '14', '14', '14', '14']
['Bahrain', '111', '117', '121', '124', '124', '126', '128', '129', '130', '134', '136', '137', '140', '141', '141', '144', '146', '147', '147', '147']
